year,genre,name,num
2010,M,AHMAD,4
2009,M,AHMAD,5
2008,M,AHMAD,2
2007,M,AHMAD,3
2006,M,AHMAD,2
2005,M,AHMAD,1
2004,M,AHMAD,2
2003,M,AHMAD,2
2002,M,AHMAD,1
2001,M,AHMAD,1
2000,M,AHMAD,2
2022,M,AHMED,7
2021,M,AHMED,12
2020,M,AHMED,5
2019,M,AHMED,3
2018,M,AHMED,8
2017,M,AHMED,9
2016,M,AHMED,3
2015,M,AHMED,9
2014,M,AHMED,9
2013,M,AHMED,12
2012,M,AHMED,6
2011,M,AHMED,13
2010,M,AHMED,14
2009,M,AHMED,11
2008,M,AHMED,19
2007,M,AHMED,12
2006,M,AHMED,9
2005,M,AHMED,12
2004,M,AHMED,9
2003,M,AHMED,10
2002,M,AHMED,6
2001,M,AHMED,6
2000,M,AHMED,10
2022,M,AIDAN,4
2021,M,AIDAN,3
2020,M,AIDAN,5
2019,M,AIDAN,5
2018,M,AIDAN,7
2017,M,AIDAN,5
2016,M,AIDAN,6
2015,M,AIDAN,6
2014,M,AIDAN,8
2013,M,AIDAN,7
2012,M,AIDAN,2
2011,M,AIDAN,8
2010,M,AIDAN,6
2009,M,AIDAN,3
2008,M,AIDAN,0
2007,M,AIDAN,4
2006,M,AIDAN,1
2005,M,AIDAN,2
2004,M,AIDAN,1
2003,M,AIDAN,1
2002,M,AIDAN,1
2001,M,AIDAN,0
2000,M,AIDAN,1
2022,M,AIDEN,7
2021,M,AIDEN,11
2020,M,AIDEN,2
2019,M,AIDEN,8
2018,M,AIDEN,4
2017,M,AIDEN,4
2016,M,AIDEN,8
2015,M,AIDEN,7
2014,M,AIDEN,8
2013,M,AIDEN,2
2012,M,AIDEN,0
2011,M,AIDEN,1
2010,M,AIDEN,1
2009,M,AIDEN,0
2008,M,AIDEN,2
2007,M,AIDEN,0
2006,M,AIDEN,0
2005,M,AIDEN,0
2004,M,AIDEN,0
2003,M,AIDEN,0
2002,M,AIDEN,0
2001,M,AIDEN,0
2000,M,AIDEN,0
2022,M,AIMAR,21
2021,M,AIMAR,14
2020,M,AIMAR,17
2019,M,AIMAR,21
2018,M,AIMAR,16
2017,M,AIMAR,15
2016,M,AIMAR,20
2015,M,AIMAR,19
2014,M,AIMAR,20
2013,M,AIMAR,17
2012,M,AIMAR,9
2011,M,AIMAR,20
2010,M,AIMAR,8
2009,M,AIMAR,4
2008,M,AIMAR,9
2007,M,AIMAR,9
2006,M,AIMAR,11
2005,M,AIMAR,10
2004,M,AIMAR,5
2003,M,AIMAR,3
2002,M,AIMAR,1
2001,M,AIMAR,0
2000,M,AIMAR,0
2022,M,AIRAM,5
2021,M,AIRAM,4
2020,M,AIRAM,5
2019,M,AIRAM,8
2018,M,AIRAM,2
2017,M,AIRAM,4
2016,M,AIRAM,5
2015,M,AIRAM,6
2014,M,AIRAM,7
2013,M,AIRAM,4
2012,M,AIRAM,8
2011,M,AIRAM,5
2010,M,AIRAM,2
2009,M,AIRAM,1
2008,M,AIRAM,2
2007,M,AIRAM,3
2006,M,AIRAM,2
2005,M,AIRAM,1
2004,M,AIRAM,3
2003,M,AIRAM,1
2002,M,AIRAM,1
2001,M,AIRAM,0
2000,M,AIRAM,0
2022,M,AITOR,66
2021,M,AITOR,69
2020,M,AITOR,84
2019,M,AITOR,89
2018,M,AITOR,101
2017,M,AITOR,122
2016,M,AITOR,141
2015,M,AITOR,158
2014,M,AITOR,165
2013,M,AITOR,241
2012,M,AITOR,245
2011,M,AITOR,296
2010,M,AITOR,330
2009,M,AITOR,274
2008,M,AITOR,270
2007,M,AITOR,184
2006,M,AITOR,171
2005,M,AITOR,140
2004,M,AITOR,148
2003,M,AITOR,147
2002,M,AITOR,150
2001,M,AITOR,98
2000,M,AITOR,130
2022,M,AKRAM,9
2021,M,AKRAM,10
2020,M,AKRAM,9
2019,M,AKRAM,11
2018,M,AKRAM,14
2017,M,AKRAM,9
2016,M,AKRAM,15
2015,M,AKRAM,8
2014,M,AKRAM,19
2013,M,AKRAM,14
2012,M,AKRAM,13
2011,M,AKRAM,22
2010,M,AKRAM,17
2009,M,AKRAM,7
2008,M,AKRAM,12
2007,M,AKRAM,7
2006,M,AKRAM,6
2005,M,AKRAM,6
2004,M,AKRAM,2
2003,M,AKRAM,6
2002,M,AKRAM,1
2001,M,AKRAM,2
2000,M,AKRAM,3
2022,M,ALAN,60
2021,M,ALAN,62
2020,M,ALAN,50
2019,M,ALAN,44
