Year,Name,Gender,Frecuency
2023,Marín,Male,374
2023,Victorio,Male,374
2023,Gabriel Alejandro,Male,372
2023,Urbano,Male,372
2023,Driss,Male,371
2023,Vladimir,Male,371
2023,Ihor,Male,370
2023,Mykola,Male,370
2023,Telmo,Male,370
2023,Thomas,Male,370
2023,Venancio,Male,369
2023,Carlos Francisco,Male,368
2023,Conrado,Male,368
2023,Eleuterio,Male,367
2023,Luka,Male,365
2023,Luis Jesús,Male,364
2023,Baltasar,Male,362
2023,Manuel María,Male,361
2023,Santiago José,Male,361
2023,Jhon Jairo,Male,356
2023,Hamid,Male,355
2023,Sorin,Male,354
2023,Brahim,Male,352
2023,Jorge Eduardo,Male,351
2023,Florián,Male,350
2023,Celso,Male,349
2023,Higinio,Male,349
2023,Christopher,Male,348
2023,Kamal,Male,348
2023,Petru,Male,346
2023,Romeo,Male,345
2023,Dámaso,Male,344
2023,Ethan,Male,344
2023,Viktor,Male,344
2023,Adriano,Male,343
2023,Giovanni,Male,343
2023,Juan Cruz,Male,343
2023,Jesús Enrique,Male,342
2023,Javier Alejandro,Male,341
2023,Brian,Male,339
2023,Miguel Alejandro,Male,339
2023,Neizan,Male,338
2023,Victor Javier,Male,338
2023,Wilson,Male,336
2023,Justino,Male,335
2023,Ángel Gabriel,Male,333
2023,Imad,Male,333
2023,Aday,Male,332
2023,Aziz,Male,332
2023,Max,Male,332
2023,Mohammad,Male,332
2023,Primitivo,Male,332
2023,Anthony,Male,331
2023,José Domingo,Male,331
2023,Oscar Manuel,Male,331
2023,Mark,Male,329
2023,Oscar Luis,Male,328
2023,Abdelkader,Male,327
2023,Ilie,Male,327
2023,Dmytro,Male,326
2023,Honorio,Male,326
2023,Ibai,Male,326
2023,Xavier,Male,326
2023,Georgi,Male,324
2023,Maximino,Male,324
2023,Placido,Male,324
2023,Walter,Male,324
2023,Diego Armando,Male,323
2023,Julián Andrés,Male,323
2023,Mhamed,Male,323
2023,Oussama,Male,323
2023,Antolín,Male,321
