Year,Name,Frecuency
2022,SILVIA,28
2022,SOL,28
2022,MICAELA,27
2022,PALOMA,27
2022,LEIA,26
2022,GRETA,25
2022,LEONOR,25
2022,ARYA,24
2022,CATALEYA,24
2022,EMILY,24
2022,NADIA,24
2022,ANTIA,23
2022,DANAE,23
2022,LEA,23
2022,NAIARA,23
2022,PILAR,23
2022,NAIRA,22
2022,ADA,21
2022,AYLA,21
2022,CECILIA,21
2022,CORAL,21
2022,GADEA,21
2022,ITZIAR,21
2022,ROMA,21
2022,YAIZA,21
2022,ARIA,20
2022,ATENEA,20
2022,BELEN,20
2022,LENA,20
2022,NAYARA,20
2022,NOELIA,20
2022,PAOLA,20
2022,ALEXANDRA,19
2022,ARIANA,19
2022,AYA,19
2022,LUA,19
2022,MALAK,19
2022,NINA,19
2022,PIA,19
2022,RAQUEL,19
2022,SALOME,19
2022,ALANA,18
2022,ANA MARIA,18
2022,ANAIS,18
2022,ESTHER,18
2022,IRATI,18
2022,LIDIA,18
2022,MATILDA,18
2022,MIRANDA,18
2022,ZAIRA,18
2022,ABIGAIL,17
2022,AINHARA,17
2022,ALICE,17
2022,AMALIA,17
2022,DINA,17
2022,MONICA,17
2022,SAMANTHA,17
2022,SIENA,17
2022,SIRA,17
2022,YARA,17
2022,AURA,16
2022,EMILIA,16
2022,ERIKA,16
2022,INDARA,16
2022,MELISSA,16
2022,MIREIA,16
2022,RUTH,16
2022,SAMARA,16
2022,ADHARA,15
2022,AISHA,15
2022,AMAYA,15
2022,ARABIA,15
2022,MARYAM,15
2022,NARA,15
2022,NOAH,15
2022,TASNIM,15
2022,AZAHARA,14
2022,DALIA,14
2022,ESTRELLA,14
2022,GAIA,14
2022,JADE,14
2022,MARIA CARMEN,14
2022,NAYLA,14
2022,NICOLE,14
2022,NURIA,14
2022,SOFIA MARIA,14
2022,ALEXIA,13
2022,AMANDA,13
2022,ASTRID,13
2022,CHARLOTTE,13
2022,CHIARA,13
2022,ELISABETH,13
2022,ELIZABETH,13
2022,EVA MARIA,13
2022,GEMMA,13
2022,GIULIA,13
2022,INDIRA,13
2022,JUDITH,13
2022,LUCIANA,13
2022,MARWA,13
2022,MATILDE,13
2022,MILA,13
2022,THALIA,13
2022,VERONICA,13
2022,ALESSANDRA,12
2022,ASHLEY,12
2022,BARBARA,12
2022,BELLA,12
2022,EUGENIA,12
2022,FABIOLA,12
2022,GARA,12
2022,GUADALUPE,12
2022,HENAR,12
2022,LEILA,12
2022,MARIA ISABEL,12
2022,RITA,12
2022,SARAY,12
2022,SOPHIA,12
2022,ADELA,11
2022,AMINA,11
2022,ANE,11
2022,ANNA,11
2022,FLAVIA,11
2022,HANNA,11
2022,LORETO,11
2022,LUISA,11
2022,MARIA VICTORIA,11
2022,MEGAN,11
2022,MERIDA,11
2022,NAOMI,11
2022,NAZARET,11
2022,NOOR,11
2022,PATRICIA,11
2022,SAMIRA,11
2022,SANDRA,11
2022,SARAH,11
2022,SHEILA,11
2022,SIENNA,11
2022,SOPHIE,11
2022,VALLE,11
2022,YAREL,11
2022,ALIA,10
2022,AMARA,10
2022,ANA LUCIA,10
2022,ANA PAULA,10
2022,ARIANNA,10
2022,AVRIL,10
2022,BAYAN,10
2022,BRUNA,10
2022,DANA,10
2022,DANNA,10
2022,GINEBRA,10
2022,GLORIA,10
2022,HANNAH,10
2022,HIDAYA,10
2022,ICIAR,10
2022,LEAH,10
2022,LUZ,10
2022,MALENA,10
2022,MERCEDES,10
2022,MINERVA,10
2022,NOEMI,10
2022,OLALLA,10
2022,REBECA,10
2022,ANA SOFIA,9
2022,BRIANA,9
2022,CELESTE,9
2022,DANIELLA,9
2022,EDURNE,9
2022,EIRA,9
2022,ESMERALDA,9
2022,EYRA,9
2022,INAS,9
2022,IRINA,9
2022,ISRAA,9
2022,JANA,9
2022,LILIA,9
