Year,District,Neighborhood,Gender,Number
2019,Tetuán,Cuatro Caminos,male,148
2019,Tetuán,Castillejos,male,92
2019,Tetuán,Almenara,male,101
2019,Tetuán,Valdeacederas,male,131
2019,Tetuán,Berruguete,male,122
2019,Chamberí,Chamberí,male,611
2019,Chamberí,Gaztambide,male,97
2019,Chamberí,Arapiles,male,82
2019,Chamberí,Trafalgar,male,110
2019,Chamberí,Almagro,male,95
2019,Chamberí,Ríos Rosas,male,141
2019,Chamberí,Vallehermoso,male,86
2019,Fuencarral-ElPardo,Fuencarral-ElPardo,male,1211
2019,Fuencarral-ElPardo,El Pardo,male,12
2019,Fuencarral-ElPardo,Fuentelarreina,male,14
2019,Fuencarral-ElPardo,Peñagrande,male,161
2019,Fuencarral-ElPardo,Pilar,male,185
2019,Fuencarral-ElPardo,La Paz,male,120
2019,Fuencarral-ElPardo,Valverde,male,387
2019,Fuencarral-ElPardo,Mirasierra,male,199
2019,Fuencarral-ElPardo,El Goloso,male,133
2019,Moncloa-Aravaca,Moncloa-Aravaca,male,471
2019,Moncloa-Aravaca,Casa de Campo,male,51
2019,Moncloa-Aravaca,Argüelles,male,71
2019,Moncloa-Aravaca,Ciudad Universitaria,male,60
2019,Moncloa-Aravaca,Valdezarza,male,118
2019,Moncloa-Aravaca,Valdemarín,male,36
2019,Moncloa-Aravaca,El Plantío,male,9
2019,Moncloa-Aravaca,Aravaca,male,126
2019,Latina,Latina,male,898
2019,Latina,Los Cármenes,male,63
2019,Latina,Puerta del Ángel,male,172
2019,Latina,Lucero,male,161
2019,Latina,Aluche,male,228
2019,Latina,Campamento,male,71
2019,Latina,CuatroVientos,male,28
2019,Latina,Águilas,male,175
2019,Carabanchel,Carabanchel,male,1104
2019,Carabanchel,Comillas,male,104
2019,Carabanchel,Opañel,male,131
2019,Carabanchel,San Isidro,male,175
2019,Carabanchel,Vista Alegre,male,209
2019,Carabanchel,Puerta Bonita,male,167
2019,Carabanchel,Buenavista,male,195
2019,Carabanchel,Abrantes,male,123
2019,Usera,Usera,male,605
2019,Usera,Orcasitas,male,80
2019,Usera,Orcasur,male,68
2019,Usera,San Fermín,male,108
2019,Usera,Almendrales,male,96
2019,Usera,Moscardó,male,111
2019,Usera,Zofío,male,67
2019,Usera,Pradolongo,male,75
2019,Puente de Vallecas,Puente de Vallecas,male,1059
2019,Puente de Vallecas,Entrevías,male,167
2019,Puente de Vallecas,San Diego,male,217
2019,Puente de Vallecas,Palomeras Bajas,male,137
2019,Puente de Vallecas,Palomeras Sureste,male,171
2019,Puente de Vallecas,Portazgo,male,147
2019,Puente de Vallecas,Numancia,male,220
2019,Moratalaz,Moratalaz,male,302
2019,Moratalaz,Pavones,male,25
2019,Moratalaz,Horcajo,male,21
2019,Moratalaz,Marroquina,male,68
2019,Moratalaz,Media Legua,male,66
2019,Moratalaz,Fontarrón,male,56
2019,Moratalaz,Vinateros,male,66
2019,Ciudad Lineal,Ciudad Lineal,male,816
2019,Ciudad Lineal,Ventas,male,167
2019,Ciudad Lineal,Pueblo Nuevo,male,240
2019,Ciudad Lineal,Quintana,male,101
2019,Ciudad Lineal,Concepción,male,81
2019,Ciudad Lineal,San Pascual,male,57
2019,Ciudad Lineal,San Juan Bautista,male,53
2019,Ciudad Lineal,Colina,male,32
2019,Ciudad Lineal,Atalaya,male,5
