name,host_name,host_location,neighbourhood_cleansed,property_type,room_type,accommodates,rooms_text,beds,price
Home in Cap d'Artrutx,Oliver,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,2,6,72
Home in Ciutadella de Menorca,Holidays,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,2,6,1177
Home in Sant Climent,Peter,No info,Mahon,Entire home,Entire home/apt,6,2,5,137
Home in Cap d'Artrutx,Barbara,No info,Ciutadella de Menorca,Entire home,Entire home/apt,5,1,4,90
Home in Ciutadella de Menorca,Juan,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,2,4,289
Condo in Es Mercadal,Antonio,No info,Es Mercadal,Entire condo,Entire home/apt,4,1,5,40
Chalet in Cala Galdana,Sonne Villas,No info,Ferreries,Entire chalet,Entire home/apt,8,2,5,110
Home in Sant Climent,Julio,No info,Mahon,Entire home,Entire home/apt,9,3,7,390
Villa in Alaior,Julio,No info,Alaior,Entire villa,Entire home/apt,10,5,10,561
Home in Cala Morell,Carlos,No info,Ciutadella de Menorca,Entire home,Entire home/apt,14,3,13,421
Rental unit in Cala Morell,Joana,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,174
Townhouse in Son Parc,Lupi & Pedro / Kettenhofweg S.L,No info,Es Mercadal,Entire townhouse,Entire home/apt,6,3,6,200
Townhouse in Es Mercadal,Es Clic,No info,Es Mercadal,Entire townhouse,Entire home/apt,6,3,3,100
Rental unit in Platges de Fornells,Anthony,No info,Es Mercadal,Entire rental unit,Entire home/apt,4,1,3,250
Villa in Ciudadela de Menorca,Franck,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,8,4,5,354
Chalet in Serpentona,Alex,No info,Ciutadella de Menorca,Private room in chalet,Private room,2,2,1,150
Rental unit in Sol del Este,Fiona,No info,Es Castell,Entire rental unit,Entire home/apt,4,2,5,81
Villa in Binisafua,Adan,No info,Sant Lluis,Entire villa,Entire home/apt,6,2,7,190
Home in Ciutadella de Menorca,Holidays,No info,Ciutadella de Menorca,Entire home,Entire home/apt,4,1,4,1177
Home in Ciutadella de Menorca,Matira & Erlantz,No info,Ciutadella de Menorca,Private room in home,Private room,2,1,1,67
Home in Ciutadella de Menorca,Matira & Erlantz,No info,Ciutadella de Menorca,Private room in home,Private room,2,1,2,65
Rental unit in Platges de Fornells,Aaron,No info,Es Mercadal,Entire rental unit,Entire home/apt,2,1,1,117
Rental unit in Torre del Ram,Andreu,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,2,1,2,55
Home in Cap d'Artruix,MauterVillas,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,0,5,244
Chalet in Cala Blanca,Laura,No info,Ciutadella de Menorca,Entire chalet,Entire home/apt,4,2,2,1000
Home in Ciutadella de Menorca,Maria Angeles,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,1,6,90
Rental unit in Cala Galdana,Holidu,No info,Ferreries,Entire rental unit,Entire home/apt,4,1,3,83
Serviced apartment in Cala Galdana,Escuco,No info,Ferreries,Entire serviced apartment,Entire home/apt,6,1,3,200
Villa in Cap d'Artrutx,Miguel,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,4,1,3,230
Villa in Sant Jaume,Juana Maria,No info,Alaior,Entire villa,Entire home/apt,6,2,5,70
Villa in Cap d'Artrutx,Solmar,No info,Ciutadella de Menorca,Entire villa,Entire home/apt,8,3,6,331
Rental unit in Binisafua,Inigo Y Maria,No info,Sant Lluis,Entire rental unit,Entire home/apt,4,1,3,63
Hotel in Sant Felip,Pardela,No info,Es Castell,Room in Hotel,Private room,2,1,2,67
Villa in Sant Jaume,3Villas,No info,Alaior,Entire villa,Entire home/apt,10,4,7,1080
Condo in Es Mercadal,Antonio,No info,Es Mercadal,Entire condo,Entire home/apt,4,1,5,40
Rental unit in Ciutadella de Menorca,Marcella,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,5,1,4,81
Condo in Cala en Porter,Calan Porter Holidays,No info,Alaior,Entire condo,Entire home/apt,6,1,3,200
Home in Binisafuller,MauterVillas,No info,Sant Lluis,Entire home,Entire home/apt,8,2,6,210
Home in Trebeluger,Genevieve Jeanne Marie,No info,Es Castell,Entire home,Entire home/apt,12,5,8,0
Home in Ciutadella de Menorca,J.Carlos,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,1,4,90
Chalet in Biniancolla,Lola,No info,Sant Lluis,Entire chalet,Entire home/apt,4,1,3,100
Home in Ciutadella de Menorca,Oliver,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,1,3,78
Home in Ciutadella de Menorca,Rosi,No info,Ciutadella de Menorca,Entire home,Entire home/apt,6,2,4,150
Guest suite in Mahon,Lola,No info,Mahon,Entire guest suite,Entire home/apt,2,1,2,93
Rental unit in Cala en Bosc,Massimiliano,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,6,1,6,186
Home in Ciutadella de Menorca,Anna,No info,Ciutadella de Menorca,Entire home,Entire home/apt,7,2,6,80
Home in Sant Lluis,Manuel,No info,Sant Lluis,Entire home,Entire home/apt,12,5,10,679
Chalet in Cala Blanca,Diego,No info,Ciutadella de Menorca,Entire chalet,Entire home/apt,6,2,0,385
Rental unit in Ciutadella de Menorca,Richard,No info,Ciutadella de Menorca,Entire rental unit,Entire home/apt,4,1,3,121
Condo in Ciutadella de Menorca,Pilar,No info,Ciutadella de Menorca,Entire condo,Entire home/apt,5,1,3,73
