PROTECCION_ACTUAL;PROTECCION_97;NOMBRE;C_HOMOGENEO;OBSERVACION;EXPEDIENTE;ENLACE;COD_NDP;UTMX_ETRS;UTMY_ETRS;N_CATALOGO
Parcial;Parcial;---;---;---;---;---;11006629;439793.22;4475364.22;202
Estructural;Estructural;---;---;---;---;---;11006628;439790.59;4475355.32;203
Estructural;Estructural;---;---;---;---;---;11006627;439787.27;4475344.09;204
Estructural;Estructural;---;---;---;---;---;11006626;439783.58;4475331.39;205
Parcial;Parcial;---;---;---;---;---;11006625;439780.62;4475321.26;206
Parcial;Parcial;---;---;---;---;---;11006624;439778.8;4475314.9;207
Estructural;Estructural;---;---;---;---;---;11006622;439771.27;4475289.38;209
Parcial;Parcial;---;---;---;---;---;11006631;439749.04;4475288.78;210
Parcial;Parcial;---;---;---;---;---;11006632;439738.54;4475294.49;211
Parcial;Parcial;---;---;---;---;---;11006633;439732.58;4475297.79;212
Estructural;Estructural;---;---;---;---;---;11006636;439725.06;4475309.16;213
Parcial;Parcial;---;---;---;---;---;11006637;439728.1;4475318.05;214
Parcial;Parcial;---;---;---;---;---;11006638;439731.42;4475327.74;215
Parcial;Parcial;---;---;---;---;---;11006639;439733.78;4475334.69;216
Parcial;Parcial;---;---;---;---;---;11006640;439735.72;4475340.33;217
Parcial;Parcial;---;---;---;---;---;11006641;439740.1;4475353.14;218
Parcial;Parcial;---;---;---;---;---;11006642;439744.46;4475365.84;219
Integral;Integral;---;---;---;---;---;11006569;439714.1;4475284.83;221
Ambiental;Ambiental;Fue un antiguo convento;---;---;---;---;11006540;439757.7;4475272.37;222
Estructural;Estructural;---;---;---;---;---;11006539;439771.2;4475265.04;223
Parcial;Parcial;---;---;---;---;---;11006564;439770.71;4475242.46;224
Estructural;Estructural;---;---;---;---;---;11006563;439766.65;4475235.06;225
Parcial;Parcial;---;---;---;---;---;11006562;439759.53;4475222.02;226
Integral;Integral;Palacio Marques Sta Cruz;---;---;---;---;11006604;439704.21;4475217.72;229
Estructural;Estructural;Viv.guard.Palc.Sta.Cruz;---;---;---;---;11006567;439699.25;4475257.2;230
Parcial;Parcial;---;---;---;---;---;11006568;439704.9;4475267.75;231
Parcial;Parcial;---;---;---;---;---;11006670;439801.55;4475253.69;236
Parcial;Parcial;---;---;---;---;---;11006707;439799.54;4475212.94;238
Parcial;Parcial;---;---;---;---;---;11006706;439788.99;4475197.5;239
Estructural;Estructural;---;---;---;---;---;11006713;439770.38;4475179.34;240
Parcial;Parcial;---;---;---;---;---;11006714;439758.69;4475186.96;241
Parcial;Parcial;---;---;---;---;---;11006672;439768.31;4475218.01;242
Parcial;Parcial;---;---;---;---;---;11006673;439774.2;4475228.65;243
Parcial;Parcial;---;---;---;---;---;11006674;439780.44;4475240.0;244
Estructural;Estructural;---;---;---;---;---;11006764;439749.26;4475178.49;245
Parcial;Parcial;---;---;---;---;---;31006047;439707.76;4475124.26;247
Parcial;Parcial;---;---;---;---;---;11006774;439704.05;4475154.63;248
Parcial;Parcial;---;---;---;---;---;11006773;439712.81;4475160.3;249
Integral;Integral;Edificio Montano;---;---;---;---;11006783;439766.92;4475166.23;251
Parcial;Parcial;edificio de apartamentos;---;---;---;---;11006666;439835.51;4475199.4;253
Ambiental;Ambiental;---;---;---;---;---;11006664;439837.34;4475157.71;256
Estructural;Estructural;---;---;---;---;---;11006663;439837.79;4475144.38;257
Integral;Integral;---;---;---;---;---;11006711;439817.75;4475137.78;258
Estructural;Estructural;---;---;---;---;---;11006712;439786.34;4475166.7;259
Parcial;Parcial;---;---;---;---;---;11006699;439792.89;4475185.82;260
Ambiental;Ambiental;---;---;---;---;---;11006700;439801.46;4475197.75;261
Integral;Integral;Vivienda Unifamiliar;---;---;---;---;20103381;439888.92;4475240.44;263
Integral;Integral;Igl. Evang.Del Salvador;---;---;---;---;20147557;439932.58;4475235.46;264
Integral;Integral;Biblioteca M. Valdecilla;---;---;---;---;11006693;439947.34;4475233.84;265
Integral;Integral;---;---;---;---;---;11006717;439985.41;4475220.68;266
Singular;Singular;Inst. Cardenal Cisneros;---;---;---;---;11006660;439843.85;4475204.19;267
Singular;Singular;Antig.Universidad Central;---;---;---;---;11006715;439983.32;4475112.37;268
Integral;Integral;---;---;---;---;---;11006661;439842.62;4475221.5;269
Estructural;Estructural;---;---;---;---;---;11006763;439786.82;4475150.57;270
Integral;Integral;---;---;---;---;---;11006756;439826.23;4475090.89;274
Parcial;Parcial;---;---;---;---;---;11006757;439807.57;4475080.5;275
Parcial;Parcial;---;---;---;---;---;11006758;439795.33;4475073.62;276
Estructural;Estructural;---;---;---;---;---;11006759;439784.39;4475067.45;277
Estructural;Estructural;---;---;---;---;---;11006761;439762.71;4475055.69;279
Estructural;Estructural;---;---;---;---;---;11006754;439727.08;4475096.6;280
Parcial;Parcial;---;---;---;---;---;11006744;439731.66;4475111.12;281
Estructural;Estructural;---;---;---;---;---;11006843;439768.37;4475038.74;283
Estructural;Estructural;---;---;---;---;---;11006841;439790.29;4475051.08;285
Estructural;Estructural;---;---;---;---;---;11006840;439798.75;4475055.76;286
Parcial;Parcial;---;---;---;---;---;11006839;439813.3;4475063.81;287
Parcial;Parcial;---;---;---;---;---;11006837;439828.74;4475072.57;289
Parcial;Parcial;---;---;---;---;---;11006793;439843.89;4475073.84;290
Parcial;Parcial;---;---;---;---;---;11006792;439845.4;4475061.53;291
Estructural;Estructural;---;---;---;---;---;11006836;439862.76;4475086.28;292
Estructural;Estructural;---;---;---;---;---;11006835;439877.3;4475086.6;293
Estructural;Estructural;---;---;---;---;---;11006834;439887.81;4475087.04;294
Singular;Singular;Palacio del M. de Sonora - Ministerio Justicia;---;---;---;---;11006857;439981.39;4475074.17;295
Integral;Integral;Casa de Luis Araujo Costa;---;---;---;---;11006815;439874.9;4475064.02;296
Parcial;Parcial;Edificio Aptos. y comerc.;---;---;---;---;11006825;439864.34;4475055.67;297
Parcial;Parcial;---;---;---;---;---;11006823;439883.99;4475054.1;299
Estructural;Estructural;---;---;---;---;---;11006822;439903.13;4475053.01;300
Estructural;Estructural;---;---;---;---;---;11006821;439914.58;4475051.9;301
Parcial;Parcial;---;---;---;---;---;11006820;439920.5;4475051.47;302
Ambiental;Ambiental;Clinica veterinaria y viv;---;---;---;---;11006819;439928.64;4475050.97;303
Parcial;Parcial;---;---;---;---;---;11006818;439934.99;4475050.48;304
Parcial;Parcial;---;---;---;---;---;11006817;439940.59;4475050.07;305
Parcial;Parcial;---;---;---;---;---;11006816;439951.23;4475049.34;306
Parcial;Parcial;Edific. de Apartamentos;---;---;---;---;11006855;439976.23;4475013.11;307
Ambiental;Ambiental;---;---;---;---;---;11006861;439972.56;4474998.72;308
Ambiental;Ambiental;---;---;---;---;---;11006794;439960.36;4475002.37;309
Parcial;Parcial;---;---;---;---;---;11006795;439954.73;4475004.47;310
Integral;Integral;Antigua posada;---;---;---;---;11006796;439937.92;4475006.83;311
Estructural;Estructural;---;---;---;---;---;11006798;439909.32;4475009.4;313
Parcial;Parcial;---;---;---;---;---;11006830;439880.96;4475011.88;315
Parcial;Parcial;---;---;---;---;---;11006829;439871.25;4475013.48;316
Parcial;Parcial;---;---;---;---;---;11006787;439858.69;4475023.62;317
Parcial;Parcial;---;---;---;---;---;11006788;439858.06;4475032.06;318
Parcial;Parcial;---;---;---;---;---;11006789;439857.41;4475038.95;319
Parcial;Parcial;---;---;---;---;---;11006790;439856.71;4475048.42;320
Singular;Singular;Convto. Comendadoras;---;---;---;---;11006359;439820.15;4475480.97;323
Parcial;Parcial;---;---;---;---;---;11006373;439904.68;4475420.93;324
Estructural;Estructural;---;---;---;---;---;11006354;439925.26;4475415.66;325
Parcial;Parcial;---;---;---;---;---;11006353;439922.36;4475398.01;326
Parcial;Parcial;---;---;---;---;---;11006414;439908.69;4475372.94;327
Parcial;Parcial;---;---;---;---;---;11006415;439900.33;4475374.09;328
Integral;Integral;---;---;---;---;---;11006416;439893.93;4475374.96;329
Parcial;Parcial;---;---;---;---;---;11006417;439887.12;4475375.89;330
Estructural;Estructural;---;---;---;---;---;11006418;439876.92;4475377.26;331
Estructural;Estructural;---;---;---;---;---;11006420;439857.31;4475379.91;333
Parcial;Parcial;---;---;---;---;---;11006421;439848.38;4475381.12;334
Parcial;Parcial;---;---;---;---;---;11006374;439901.37;4475401.4;336
Estructural;Estructural;---;---;---;---;---;11006325;439831.48;4475369.29;337
Parcial;Parcial;---;---;---;---;---;20006112;439850.0;4475371.18;338
Estructural;Estructural;---;---;---;---;---;11006313;439869.87;4475368.5;339
Estructural;Estructural;---;---;---;---;---;11006315;439903.02;4475363.61;341
Parcial;Parcial;---;---;---;---;---;11006316;439913.56;4475344.48;342
Parcial;Parcial;---;---;---;---;---;11006318;439859.89;4475316.48;343
Parcial;Parcial;---;---;---;---;---;11006323;439832.85;4475351.33;348
Parcial;Parcial;---;---;---;---;---;11006324;439832.39;4475356.93;349
Parcial;Parcial;---;---;---;---;---;11006650;439862.3;4475305.89;351
Parcial;Parcial;---;---;---;---;---;11006656;439875.63;4475304.32;352
Parcial;Parcial;---;---;---;---;---;11006649;439885.79;4475303.12;353
Estructural;Estructural;---;---;---;---;---;11006648;439900.93;4475301.13;354
Estructural;Estructural;---;---;---;---;---;11006616;439901.56;4475280.65;355
Parcial;Parcial;---;---;---;---;---;11006615;439897.28;4475260.46;356
Parcial;Parcial;---;---;---;---;---;11006644;439887.09;4475250.9;357
Estructural;Estructural;---;---;---;---;---;11006645;439874.09;4475252.3;358
Parcial;Parcial;---;---;---;---;---;11006646;439863.33;4475253.46;359
Estructural;Estructural;---;---;---;---;---;11006647;439848.96;4475255.11;360
Parcial;Parcial;---;---;---;---;---;11006617;439838.31;4475273.82;361
Estructural;Estructural;---;---;---;---;---;20006184;439837.35;4475275.82;362
Estructural;Estructural;---;---;---;---;---;11006446;439954.92;4475495.7;364
Parcial;Parcial;---;---;---;---;---;11006432;439985.37;4475487.67;366
Parcial;Parcial;---;---;---;---;---;11006431;439983.49;4475474.03;367
Estructural;Estructural;Antigua pensión Mañes;---;---;---;---;11006430;439981.46;4475458.89;368
Parcial;Parcial;---;---;---;---;---;11006425;439949.45;4475442.73;370
Parcial;Parcial;---;---;---;---;---;11006350;439942.93;4475473.66;372
Estructural;Estructural;---;---;---;---;---;11005463;440300.37;4475450.13;373
Parcial;Parcial;---;---;---;---;---;11005464;440307.6;4475448.34;374
Parcial;Parcial;---;---;---;---;---;11005467;440300.99;4475418.49;375
Parcial;Parcial;---;---;---;---;---;11005468;440295.02;4475419.44;376
Parcial;Parcial;---;---;---;---;---;11006275;439933.73;4475411.47;377
Parcial;Parcial;---;---;---;---;---;11006264;439956.42;4475433.1;378
Parcial;Parcial;---;---;---;---;---;20006116;439971.71;4475434.1;379
Parcial;Parcial;---;---;---;---;---;11006265;439976.77;4475426.08;380
Parcial;Parcial;---;---;---;---;---;20147365;439974.89;4475413.79;381
Parcial;Parcial;---;---;---;---;---;11006268;439969.36;4475393.91;382
Estructural;Estructural;---;---;---;---;---;11006269;439965.94;4475382.78;383
Estructural;Estructural;---;---;---;---;---;11006270;439953.76;4475366.62;384
Estructural;Estructural;---;---;---;---;---;11006272;439936.0;4475369.15;385
Parcial;Parcial;---;---;---;---;---;11006274;439930.87;4475392.86;386
Parcial;Parcial;---;---;---;---;---;11006277;439996.45;4475435.25;387
Parcial;Parcial;---;---;---;---;---;11006278;440014.87;4475436.2;388
Parcial;Parcial;---;---;---;---;---;11006279;440027.34;4475436.85;389
